gene/TE	cytoplasmic_dmso_3hrs_1	cytoplasmic_dmso_3hrs_2	cytoplasmic_dmso_3hrs_3	cytoplasmic_kpt185_3hrs_1	cytoplasmic_kpt185_3hrs_2	cytoplasmic_kpt185_3hrs_3	nuclear_dmso_3hrs_1	nuclear_dmso_3hrs_2	nuclear_dmso_3hrs_3	nuclear_kpt185_3hrs_1	nuclear_kpt185_3hrs_2	nuclear_kpt185_3hrs_3
"ENSG00000000003.15"	614	452	616	506	749	614	383	338	401	404	615	374
"ENSG00000000005.6"	3	1	3	1	1	2	1	0	0	2	3	2
"ENSG00000000419.14"	719	442	638	538	883	616	289	258	337	397	584	350
"ENSG00000000457.14"	271	182	238	126	241	202	172	200	182	185	260	149
"ENSG00000000460.17"	822	510	728	518	814	612	471	506	600	621	976	511
"ENSG00000000938.13"	1	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000000971.16"	0	0	0	0	0	1	2	0	0	0	2	0
"ENSG00000001036.14"	1061	706	907	774	1285	845	735	786	930	855	1266	772
"ENSG00000001084.13"	1605	1052	1394	1044	1521	1034	434	456	594	579	863	442
"ENSG00000001167.15"	1830	1084	1585	1094	1651	1119	431	450	572	615	887	463
"ENSG00000001460.18"	536	346	510	381	599	416	121	130	163	186	242	131
"ENSG00000001461.17"	1636	1064	1467	1432	2239	1493	372	388	510	600	893	498
"ENSG00000001497.18"	2624	1649	2317	1801	2695	1921	819	834	993	881	1511	701
"ENSG00000001561.7"	424	314	358	443	607	511	365	323	400	611	763	437
"ENSG00000001617.12"	155	100	128	99	158	105	62	58	62	63	103	42
"ENSG00000001626.17"	1	1	1	1	1	0	0	1	1	0	2	0
"ENSG00000001629.10"	1162	718	1057	846	1313	900	392	436	520	494	685	425
"ENSG00000001630.18"	730	493	616	489	776	550	235	234	329	305	415	264
"ENSG00000001631.17"	537	361	487	420	633	449	472	494	550	654	964	487
"ENSG00000002016.18"	309	195	273	191	318	205	328	315	314	369	554	268
"ENSG00000002079.14"	0	0	0	0	2	0	0	1	0	0	1	1
"ENSG00000002330.14"	781	496	734	492	884	613	114	103	142	138	186	127
"ENSG00000002549.13"	1183	696	1068	785	1259	914	207	220	287	287	434	252
"ENSG00000002586.20"	1484	898	1328	1036	1836	1269	427	457	484	591	815	435
"ENSG00000002586.20_PAR_Y"	140	73	89	111	91	38	32	26	88	31	50	27
"ENSG00000002587.10"	0	0	1	0	0	0	0	0	0	0	0	0
"ENSG00000002726.21"	0	0	1	0	1	0	1	0	0	0	0	0
"ENSG00000002745.13"	51	29	42	38	56	31	13	15	24	17	25	16
"ENSG00000002746.15"	18	15	13	11	21	22	23	18	28	24	29	7
"ENSG00000002822.16"	295	170	233	158	282	187	64	62	76	82	138	82
"ENSG00000002834.18"	2621	1592	2347	1999	2916	1965	410	419	562	593	916	501
"ENSG00000002919.15"	497	310	419	254	396	286	123	134	152	118	207	115
"ENSG00000002933.9"	1	1	0	0	0	0	0	0	0	0	0	0
"ENSG00000003056.8"	1774	1124	1612	1392	2087	1602	954	1056	1207	1214	1811	1010
"ENSG00000003096.14"	454	271	389	298	434	290	97	72	130	143	206	128
"ENSG00000003137.9"	41	35	28	35	64	43	14	16	13	28	32	19
"ENSG00000003147.19"	91	69	72	94	122	71	32	21	27	41	65	32
"ENSG00000003249.15"	1302	767	995	771	1204	787	107	91	176	139	202	96
"ENSG00000003393.16"	824	478	697	597	807	587	503	522	567	596	1011	459
"ENSG00000003400.15"	119	101	110	73	136	99	41	32	40	77	80	50
"ENSG00000003402.21"	689	406	607	423	721	518	294	355	379	399	613	334
"ENSG00000003436.16"	330	205	246	281	445	324	200	201	243	290	439	259
"ENSG00000003509.16"	306	204	253	225	343	227	141	151	172	220	352	199
