Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
results | 02abundant | HEK293_S8_cytoplasmic_dmso_3hrs_1	30414101	30414101	29860531	23446	530124	600	59212725	70629	436508	2.66	218254.0	29606362.5	35314.5
results | 02abundant | HEK293_S8_cytoplasmic_dmso_3hrs_2	18418645	18418645	17894056	12877	511712	340	35500837	39539	247056	3.63	123528.0	17750418.5	19769.5
results | 02abundant | HEK293_S8_cytoplasmic_dmso_3hrs_3	25931119	25931119	25402793	18226	510100	436	50312161	76699	415854	2.99	207927.0	25156080.5	38349.5
results | 02abundant | HEK293_S8_cytoplasmic_kpt185_3hrs_1	20533857	20533857	20249842	16708	267307	318	40166420	51041	281587	2.19	140793.5	20083210.0	25520.5
results | 02abundant | HEK293_S8_cytoplasmic_kpt185_3hrs_2	32557765	32557765	31996132	27576	534057	651	63460662	75580	454720	2.54	227360.0	31730331.0	37790.0
results | 02abundant | HEK293_S8_cytoplasmic_kpt185_3hrs_3	22464838	22464838	22056468	18178	390192	421	43764382	48931	298781	2.59	149390.5	21882191.0	24465.5
results | 02abundant | HEK293_S8_nuclear_dmso_3hrs_1	18122746	18122746	16461931	2217	1658598	335	32640065	40381	242746	9.95	121373.0	16320032.5	20190.5
results | 02abundant | HEK293_S8_nuclear_dmso_3hrs_2	18188008	18188008	16859371	2220	1326417	372	33451739	39646	226613	8.04	113306.5	16725869.5	19823.0
results | 02abundant | HEK293_S8_nuclear_dmso_3hrs_3	20442184	20442184	18875907	3237	1563040	418	37444005	42487	264486	8.41	132243.0	18722002.5	21243.5
results | 02abundant | HEK293_S8_nuclear_kpt185_3hrs_1	22615533	22615533	20727209	3798	1884526	465	41112140	45362	295986	9.11	147993.0	20556070.0	22681.0
results | 02abundant | HEK293_S8_nuclear_kpt185_3hrs_2	34625810	34625810	32023509	5530	2596771	662	63499419	76477	469798	8.31	234899.0	31749709.5	38238.5
results | 02abundant | HEK293_S8_nuclear_kpt185_3hrs_3	18032366	18032366	16541532	3181	1487653	341	32806571	37996	237815	9.03	118907.5	16403285.5	18998.0
