Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
results | 06fastqc_raw | HEK293_S8_cytoplasmic_dmso_3hrs_1.R1	HEK293_S8_cytoplasmic_dmso_3hrs_1.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31229700.0	0.0	50.0	48.0	49.73112945766526	50.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	pass
results | 06fastqc_raw | HEK293_S8_cytoplasmic_dmso_3hrs_1.R2	HEK293_S8_cytoplasmic_dmso_3hrs_1.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31229700.0	0.0	50.0	51.0	58.820164970000185	50.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	pass	pass
results | 06fastqc_raw | HEK293_S8_cytoplasmic_dmso_3hrs_2.R1	HEK293_S8_cytoplasmic_dmso_3hrs_2.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18845582.0	0.0	50.0	47.0	54.81127210569379	50.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	warn	pass
results | 06fastqc_raw | HEK293_S8_cytoplasmic_dmso_3hrs_2.R2	HEK293_S8_cytoplasmic_dmso_3hrs_2.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18845582.0	0.0	50.0	50.0	65.18746477004709	50.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	pass	pass
results | 06fastqc_raw | HEK293_S8_cytoplasmic_dmso_3hrs_3.R1	HEK293_S8_cytoplasmic_dmso_3hrs_3.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26963962.0	0.0	50.0	47.0	51.847908371896864	50.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	pass	pass
results | 06fastqc_raw | HEK293_S8_cytoplasmic_dmso_3hrs_3.R2	HEK293_S8_cytoplasmic_dmso_3hrs_3.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26963962.0	0.0	50.0	50.0	61.347392457378824	50.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	warn	pass
results | 06fastqc_raw | HEK293_S8_cytoplasmic_kpt185_3hrs_1.R1	HEK293_S8_cytoplasmic_kpt185_3hrs_1.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20902037.0	0.0	50.0	48.0	55.83834839889791	50.0	pass	fail	pass	pass	fail	warn	pass	pass	warn	warn	pass
results | 06fastqc_raw | HEK293_S8_cytoplasmic_kpt185_3hrs_1.R2	HEK293_S8_cytoplasmic_kpt185_3hrs_1.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20902037.0	0.0	50.0	50.0	62.4765429623837	50.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	pass	pass
results | 06fastqc_raw | HEK293_S8_cytoplasmic_kpt185_3hrs_2.R1	HEK293_S8_cytoplasmic_kpt185_3hrs_2.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33356208.0	0.0	50.0	48.0	49.52870171148772	50.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	warn	pass
results | 06fastqc_raw | HEK293_S8_cytoplasmic_kpt185_3hrs_2.R2	HEK293_S8_cytoplasmic_kpt185_3hrs_2.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33356208.0	0.0	50.0	50.0	58.68586005141376	50.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	pass	pass
results | 06fastqc_raw | HEK293_S8_cytoplasmic_kpt185_3hrs_3.R1	HEK293_S8_cytoplasmic_kpt185_3hrs_3.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22942751.0	0.0	50.0	47.0	55.40848237031846	50.0	pass	fail	pass	pass	fail	warn	pass	pass	warn	pass	pass
results | 06fastqc_raw | HEK293_S8_cytoplasmic_kpt185_3hrs_3.R2	HEK293_S8_cytoplasmic_kpt185_3hrs_3.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22942751.0	0.0	50.0	50.0	62.250814749432905	50.0	pass	fail	pass	pass	fail	pass	pass	pass	warn	pass	pass
results | 06fastqc_raw | HEK293_S8_nuclear_dmso_3hrs_1.R1	HEK293_S8_nuclear_dmso_3hrs_1.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18617211.0	0.0	50.0	45.0	73.54712207182479	50.0	pass	fail	pass	pass	fail	fail	pass	pass	pass	pass	pass
results | 06fastqc_raw | HEK293_S8_nuclear_dmso_3hrs_1.R2	HEK293_S8_nuclear_dmso_3hrs_1.R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18617211.0	0.0	50.0	47.0	78.92611344098968	50.0	pass	fail	pass	pass	fail	fail	pass	pass	pass	pass	pass
results | 06fastqc_raw | HEK293_S8_nuclear_dmso_3hrs_2.R1	HEK293_S8_nuclear_dmso_3hrs_2.R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18638483.0	0.0	50.0	44.0	75.55392631475392	50.0	pass	fail	pass	pass	fail	fail	pass	pass	pass	pass	pass
