Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
results | 05counts | HEK293_S8_cytoplasmic_dmso_3hrs_1	27925376	23779089	0	0	0	0	0	0	0	0	0	0	4146287	0	0	85.15226079677495
results | 05counts | HEK293_S8_cytoplasmic_dmso_3hrs_2	17230127	14751723	0	0	0	0	0	0	0	0	0	0	2478404	0	0	85.61586922719722
results | 05counts | HEK293_S8_cytoplasmic_dmso_3hrs_3	24019048	20371193	0	0	0	0	0	0	0	0	0	0	3647855	0	0	84.8126578538833
results | 05counts | HEK293_S8_cytoplasmic_kpt185_3hrs_1	19868591	16727030	0	0	0	0	0	0	0	0	0	0	3141561	0	0	84.1883050489086
results | 05counts | HEK293_S8_cytoplasmic_kpt185_3hrs_2	30002621	25325077	0	0	0	0	0	0	0	0	0	0	4677544	0	0	84.409548752424
results | 05counts | HEK293_S8_cytoplasmic_kpt185_3hrs_3	21289451	17967860	0	0	0	0	0	0	0	0	0	0	3321591	0	0	84.39794901240056
results | 05counts | HEK293_S8_nuclear_dmso_3hrs_1	16876894	7322446	0	0	0	0	0	0	0	0	0	0	9554448	0	0	43.38740291904423
results | 05counts | HEK293_S8_nuclear_dmso_3hrs_2	17658524	7616109	0	0	0	0	0	0	0	0	0	0	10042415	0	0	43.12992977215989
results | 05counts | HEK293_S8_nuclear_dmso_3hrs_3	19856248	9193122	0	0	0	0	0	0	0	0	0	0	10663126	0	0	46.29838426675573
results | 05counts | HEK293_S8_nuclear_kpt185_3hrs_1	21270035	9542357	0	0	0	0	0	0	0	0	0	0	11727678	0	0	44.86291160310738
results | 05counts | HEK293_S8_nuclear_kpt185_3hrs_2	33019543	14131991	0	0	0	0	0	0	0	0	0	0	18887552	0	0	42.79886914243483
results | 05counts | HEK293_S8_nuclear_kpt185_3hrs_3	17508081	8191675	0	0	0	0	0	0	0	0	0	0	9316406	0	0	46.787966082633496
