Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
results | 03map_reads | HEK293_S8_cytoplasmic_dmso_3hrs_1	29860786.0	94.0	26292547.0	88.05	95.22	8116423.0	8070672.0	8036923.0	58651.0	7581.0	13268.0	0.68	0.0	1.69	0.0	1.4	2194333.0	7.35	693.0	0.0	2.1	2.27	0.23	626902	677651	68661
results | 03map_reads | HEK293_S8_cytoplasmic_dmso_3hrs_2	17894261.0	95.0	15852600.0	88.59	95.56	4865755.0	4838490.0	4818226.0	34819.0	4596.0	8114.0	0.7	0.0	1.7	0.0	1.39	1248253.0	6.98	399.0	0.0	2.19	2.03	0.21	392029	363388	37592
results | 03map_reads | HEK293_S8_cytoplasmic_dmso_3hrs_3	25402933.0	93.0	22517157.0	88.64	94.24	6760071.0	6722052.0	6693370.0	49322.0	6411.0	10968.0	0.74	0.0	1.71	0.0	1.4	1789957.0	7.05	656.0	0.0	2.25	1.85	0.21	571721	470082	53361
results | 03map_reads | HEK293_S8_cytoplasmic_kpt185_3hrs_1	20250010.0	92.0	17636361.0	87.09	92.97	5261279.0	5232501.0	5209936.0	37938.0	4881.0	8524.0	0.65	0.0	1.71	0.0	1.39	1572314.0	7.76	545.0	0.0	2.01	2.93	0.2	407002	593291	40498
results | 03map_reads | HEK293_S8_cytoplasmic_kpt185_3hrs_2	31996511.0	94.0	28176149.0	88.06	95.28	8619691.0	8572247.0	8535189.0	62601.0	8196.0	13705.0	0.66	0.0	1.7	0.0	1.41	2448421.0	7.65	783.0	0.0	2.09	1.97	0.23	668000	629646	73512
results | 03map_reads | HEK293_S8_cytoplasmic_kpt185_3hrs_3	22056666.0	94.0	19457302.0	88.22	95.17	5919839.0	5886674.0	5861718.0	43066.0	5520.0	9535.0	0.64	0.0	1.69	0.0	1.41	1663675.0	7.54	523.0	0.0	2.01	2.01	0.22	443322	443322	48523
results | 03map_reads | HEK293_S8_nuclear_dmso_3hrs_1	16461898.0	94.0	14828288.0	90.08	94.87	1528749.0	1511696.0	1509410.0	11941.0	1567.0	5831.0	0.69	0.01	1.67	0.0	1.42	661289.0	4.02	1349.0	0.01	2.51	3.03	0.36	413075	498652	59246
results | 03map_reads | HEK293_S8_nuclear_dmso_3hrs_2	16859333.0	94.0	15340416.0	90.99	94.99	1552849.0	1535682.0	1533416.0	11879.0	1615.0	5939.0	0.68	0.01	1.68	0.0	1.42	689181.0	4.09	1381.0	0.01	2.45	2.11	0.35	413334	355973	59048
results | 03map_reads | HEK293_S8_nuclear_dmso_3hrs_3	18875854.0	94.0	17092874.0	90.55	95.08	1993957.0	1973688.0	1969733.0	15223.0	2110.0	6891.0	0.69	0.01	1.68	0.0	1.42	834518.0	4.42	1615.0	0.01	2.48	2.21	0.33	467765	416839	62243
results | 03map_reads | HEK293_S8_nuclear_kpt185_3hrs_1	20727191.0	94.0	18751886.0	90.47	94.77	2102904.0	2081571.0	2076994.0	16346.0	2261.0	7303.0	0.62	0.01	1.69	0.0	1.42	889929.0	4.29	1753.0	0.01	2.37	2.49	0.36	491990	516901	74733
results | 03map_reads | HEK293_S8_nuclear_kpt185_3hrs_2	32023463.0	94.0	28936049.0	90.36	95.18	3070639.0	3037416.0	3032049.0	24085.0	3121.0	11384.0	0.71	0.01	1.68	0.0	1.41	1388187.0	4.33	2569.0	0.01	2.63	2.32	0.35	841927	742688	112043
results | 03map_reads | HEK293_S8_nuclear_kpt185_3hrs_3	16541499.0	94.0	14945815.0	90.35	95.21	1707674.0	1689921.0	1686463.0	13194.0	1787.0	6230.0	0.69	0.01	1.67	0.0	1.41	751923.0	4.55	1268.0	0.01	2.5	2.26	0.34	412987	373340	56166
